die_id,uv_time,uv_intensity,pin_speed,pin_pressure,pin_height,head_vacuum,pin_vacuum,temperature,humidity,vacuum_status,runtime_hours,tape_type,die_thickness,pickup_success
D000059,4.8,1198.0,1.06,28.0,0.48,-67.0,-50.3,23.6,,-97.3,,0.0,128.0,1
D000060,4.8,1141.0,1.14,26.5,0.49,-64.8,-50.9,23.8,49.0,-95.8,9.7,0.0,134.0,1
D000061,3.2,1353.0,0.9,24.0,0.59,-69.0,-49.2,24.9,52.0,-91.7,16.6,0.0,120.0,0
D000062,5.1,1206.0,1.09,29.5,0.56,-66.7,-51.0,24.4,44.0,-94.6,7.9,1.0,120.0,1
D000063,4.4,1137.0,1.26,28.5,0.63,-64.9,-50.4,27.2,33.0,-98.1,16.2,1.0,126.0,0
D000064,5.4,1228.0,1.41,24.5,0.43,-61.4,-51.1,26.4,45.0,-93.1,4.3,0.0,101.0,0
D000065,5.4,1206.0,1.23,26.5,0.48,-66.4,-51.6,24.1,48.0,-95.8,14.4,1.0,130.0,1
D000066,4.6,1265.0,1.02,26.5,0.46,-65.2,-48.4,23.8,43.0,,12.6,1.0,125.0,0
D000067,3.9,1307.0,0.93,33.5,0.64,-68.1,-54.7,29.2,48.0,-92.0,12.5,0.0,109.0,0
D000068,5.1,1283.0,1.15,29.5,0.47,-64.3,-48.9,25.5,46.0,-96.2,8.3,1.0,122.0,1
D000069,4.6,1168.0,1.13,28.5,0.46,-64.3,-49.6,23.0,40.0,-95.3,8.5,1.0,129.0,1
D000070,3.6,1231.0,1.03,22.0,0.46,-63.6,-50.7,24.1,36.0,-97.0,14.5,1.0,140.0,0
D000071,4.8,1220.0,1.14,29.5,0.44,-64.0,-50.7,24.1,47.0,-96.3,9.8,1.0,127.0,0
D000072,4.9,1192.0,1.01,25.0,0.42,-67.0,-51.7,24.6,46.0,-95.5,10.3,1.0,135.0,0
D000073,5.8,1143.0,1.06,32.5,0.47,-68.4,-49.8,26.0,33.0,-93.7,1.6,0.0,122.0,1
D000074,6.8,1100.0,1.23,22.5,0.32,-66.9,-51.3,24.0,41.0,-93.5,3.6,1.0,123.0,1
D000075,3.4,1299.0,1.5,34.5,0.52,-68.6,-54.7,29.0,43.0,-91.8,18.0,1.0,144.0,0
D000076,4.6,1240.0,1.16,31.0,0.47,-66.2,-51.8,23.5,42.0,-94.9,8.0,1.0,118.0,1
D000077,5.4,1193.0,1.23,30.5,0.43,-65.8,-49.1,24.3,45.0,-95.6,13.7,1.0,125.0,1
D000078,4.9,1166.0,1.15,29.0,0.47,-65.1,-50.1,23.0,42.0,-94.6,8.5,1.0,133.0,1
D000079,3.5,1133.0,1.11,36.5,0.59,-63.2,-49.3,21.6,52.0,-90.5,11.1,0.0,121.0,1
D000080,3.5,1189.0,1.06,37.0,0.33,-68.1,-47.2,29.4,34.0,-90.9,3.3,1.0,118.0,0
D000081,4.7,1193.0,1.29,29.0,0.5,-63.7,-51.9,27.7,47.0,-94.1,13.1,0.0,122.0,0
D000082,4.3,1215.0,0.99,29.5,0.48,-65.9,-51.4,24.0,41.0,-96.1,4.5,0.0,134.0,1
D000083,4.9,1145.0,1.13,28.5,0.48,-66.3,-49.6,23.8,50.0,-94.7,7.3,0.0,127.0,1
D000084,4.9,1104.0,1.21,29.0,0.47,-63.8,-49.5,22.9,44.0,-96.0,9.5,1.0,128.0,0
D000085,,1224.0,1.16,25.0,0.45,-67.6,-50.4,,42.0,-95.5,8.4,0.0,128.0,1
D000086,3.7,1299.0,1.05,29.0,0.51,-64.6,-52.7,,45.0,-97.6,7.6,0.0,146.0,1
D000087,5.3,1202.0,1.47,21.0,0.61,-62.1,-47.3,24.4,36.0,-90.3,22.3,0.0,106.0,0
D000088,7.0,1132.0,1.35,30.0,0.33,-63.2,-51.4,23.5,41.0,-91.4,18.8,0.0,115.0,0
D000089,4.9,1246.0,1.03,30.0,0.48,-65.5,-50.1,24.8,38.0,-96.8,3.8,0.0,134.0,1
D000090,4.7,1140.0,1.12,29.5,0.45,-65.9,-50.9,24.6,43.0,-94.5,7.7,1.0,127.0,1
D000091,4.9,1130.0,1.19,26.5,0.52,-66.4,-49.2,22.5,43.0,-96.8,8.3,1.0,130.0,1
D000092,5.1,1148.0,1.04,28.5,0.48,-66.1,-49.1,24.4,43.0,-96.9,,1.0,128.0,1
D000093,5.6,1161.0,1.11,28.0,0.54,-65.4,-50.3,23.3,48.0,-94.3,5.6,0.0,126.0,1
D000094,4.3,1224.0,1.08,20.5,0.58,-68.2,-46.2,26.0,49.0,-95.9,7.0,0.0,111.0,0
D000095,5.0,1255.0,1.14,32.5,0.52,-63.6,-49.9,24.0,38.0,-95.2,5.1,1.0,132.0,1
D000096,4.8,1193.0,0.98,30.0,0.47,-65.7,-50.3,24.4,42.0,-95.5,5.5,0.0,134.0,1
D000097,5.0,1174.0,1.18,31.0,0.45,-65.7,-49.3,25.4,50.0,-95.9,8.4,1.0,,1
D000098,4.1,1185.0,1.22,29.0,0.49,-65.2,-52.0,24.1,43.0,-95.7,10.6,0.0,119.0,1
D000099,4.9,1327.0,1.2,,0.62,-69.2,-47.9,26.6,55.0,-95.6,18.3,1.0,132.0,0
D000100,5.3,1233.0,1.04,30.5,0.47,-65.3,-50.4,21.4,49.0,-96.3,9.2,1.0,129.0,1
D000101,5.8,1086.0,0.95,25.0,0.52,-62.8,-47.1,20.3,49.0,-94.0,15.3,0.0,150.0,0
D000102,5.0,1203.0,1.12,27.0,0.53,-65.7,-50.6,24.0,40.0,-95.6,10.3,1.0,123.0,1
D000103,3.6,1256.0,1.18,30.5,0.49,-66.1,-49.1,24.9,51.0,-92.4,21.7,1.0,123.0,0
D000104,5.1,1187.0,1.06,30.0,0.52,-65.6,-50.3,24.7,44.0,-97.4,9.9,0.0,128.0,1
D000105,4.8,1221.0,1.05,27.5,0.51,-65.7,-50.8,22.4,45.0,-95.8,11.0,0.0,138.0,1
D000106,4.1,1218.0,0.86,32.0,0.62,-61.0,-45.0,25.6,31.0,-91.8,4.3,0.0,123.0,0
D000107,3.6,1142.0,1.12,,0.47,-65.7,-49.9,23.1,46.0,-95.1,8.9,1.0,119.0,0
D000108,6.2,1066.0,1.25,33.5,0.66,-68.1,-50.6,22.3,49.0,-97.7,7.5,1.0,139.0,1
D000109,4.4,1171.0,0.88,26.5,0.45,-63.3,-50.6,25.3,45.0,-94.4,10.7,0.0,126.0,1
D000110,4.8,1188.0,1.06,29.5,0.55,-65.6,-49.5,23.1,43.0,-96.1,13.7,1.0,129.0,1
D000111,6.9,1396.0,1.51,21.0,0.39,-62.3,-52.6,23.7,42.0,-98.5,4.2,0.0,118.0,1
D000112,5.1,1192.0,1.16,,0.53,-66.9,-50.5,23.0,38.0,-96.1,14.3,1.0,135.0,0
D000113,4.4,1211.0,1.15,26.5,0.52,-65.9,-49.3,25.2,42.0,-95.5,10.1,0.0,130.0,1
D000114,4.4,1175.0,1.32,29.0,0.45,-66.2,-49.6,24.6,48.0,-95.5,11.6,0.0,117.0,1
D000115,4.6,1222.0,0.88,29.5,0.53,-64.8,-50.8,24.4,43.0,-96.3,7.3,1.0,130.0,1
D000116,6.1,1270.0,0.82,36.0,0.61,-68.3,-54.8,22.7,56.0,-93.2,22.7,1.0,143.0,1
D000117,5.4,1325.0,1.21,37.5,0.35,-69.2,-53.6,26.1,32.0,-93.6,0.5,0.0,104.0,1
D000118,3.9,1157.0,1.19,25.5,0.52,-65.4,-47.9,24.3,45.0,-96.2,12.5,1.0,128.0,0
D000119,4.8,1235.0,1.16,,0.5,-66.3,-48.6,23.5,46.0,-95.5,5.3,0.0,129.0,1
D000120,3.2,1147.0,1.47,34.5,0.54,-69.5,,27.0,36.0,-98.9,,0.0,115.0,1
D000121,5.5,1219.0,1.1,28.0,0.47,-66.6,-48.7,24.3,47.0,-94.3,13.2,1.0,134.0,1
D000122,4.8,1175.0,0.94,29.5,0.5,-63.4,-50.3,23.6,41.0,-95.3,7.9,1.0,125.0,1
D000123,4.7,1190.0,1.13,28.5,0.53,-66.4,-48.9,24.3,46.0,-95.7,10.9,0.0,125.0,1
D000124,5.1,1156.0,1.05,27.5,0.47,-66.7,-50.6,24.1,42.0,-95.1,7.3,0.0,134.0,1
D000125,4.8,1225.0,1.15,39.5,0.54,-65.8,-47.7,20.9,56.0,-93.0,1.6,1.0,142.0,1
D000126,5.0,1322.0,1.0,29.5,0.55,-60.8,-48.7,21.2,32.0,-94.8,5.9,1.0,112.0,0
D000127,3.8,1219.0,1.19,23.5,0.46,-65.1,-48.8,24.6,47.0,-94.7,13.7,1.0,132.0,0
D000128,6.8,1316.0,1.31,21.0,0.4,-65.6,-46.3,27.7,45.0,-90.1,20.4,0.0,149.0,0
D000129,4.9,1211.0,1.25,27.0,0.5,-66.7,-48.9,23.8,41.0,-96.5,11.1,0.0,134.0,1
D000130,5.4,1003.0,1.3,20.5,0.31,-66.9,-54.2,26.6,46.0,-90.1,6.4,1.0,144.0,0
D000131,5.4,1180.0,1.16,31.5,0.47,-65.3,-51.4,23.0,44.0,-96.0,11.2,0.0,141.0,1
D000132,4.5,1161.0,1.22,32.0,0.51,-67.0,-49.1,23.7,45.0,-95.6,,1.0,134.0,1
D000133,4.4,1186.0,1.21,27.0,0.46,-65.1,-48.8,24.4,43.0,-97.0,11.4,0.0,122.0,1
D000134,5.1,1099.0,1.09,25.5,0.5,,-50.7,23.1,43.0,-95.0,9.6,1.0,139.0,1
D000135,4.1,1156.0,1.07,30.0,0.47,-65.4,-49.1,23.7,43.0,-95.5,11.5,1.0,135.0,1
D000136,3.7,1203.0,1.11,30.0,0.55,-65.3,-49.7,23.2,42.0,-95.9,7.1,1.0,129.0,1
D000137,5.2,1201.0,1.09,30.0,0.55,-65.9,-50.8,23.7,52.0,-96.0,11.7,0.0,122.0,1
D000138,5.3,1210.0,1.13,27.5,0.42,-63.5,-49.8,25.4,41.0,-95.3,7.3,1.0,127.0,0
D000139,4.4,1213.0,1.11,29.5,0.47,-65.1,-50.6,23.8,46.0,-97.0,7.7,1.0,124.0,1
D000140,5.2,1278.0,1.0,29.5,0.45,-65.5,-50.5,23.5,48.0,-96.1,9.7,0.0,129.0,1
D000141,4.9,1244.0,0.94,23.5,0.44,-65.8,-48.6,24.1,45.0,-96.9,10.7,1.0,123.0,1
D000142,5.7,1094.0,1.55,26.5,0.49,-61.3,-46.7,20.2,31.0,-96.8,11.1,1.0,133.0,0
D000143,5.1,1237.0,1.16,34.5,0.39,-64.4,-50.8,25.6,49.0,-97.1,11.9,1.0,128.0,1
D000144,3.0,1387.0,1.01,35.0,0.34,-64.6,-45.3,27.2,41.0,-98.8,7.6,1.0,119.0,0
D000145,5.4,1165.0,1.12,30.0,0.49,-65.5,-48.8,23.2,46.0,-95.3,12.3,1.0,126.0,1
D000146,4.9,1174.0,1.03,28.0,0.46,-63.7,-50.7,24.9,51.0,-96.3,10.7,1.0,124.0,0
D000147,5.2,1251.0,1.19,28.5,0.51,-64.2,-49.4,24.8,46.0,-95.0,9.6,0.0,124.0,1
D000148,4.7,1326.0,1.02,34.0,0.69,-69.3,-52.1,22.4,,-95.5,20.5,1.0,105.0,0
D000149,5.5,1179.0,1.04,29.5,0.44,-65.6,-50.1,22.7,41.0,-95.9,12.5,1.0,119.0,1
D000150,5.0,1023.0,1.28,27.0,0.56,-66.0,-50.9,22.6,43.0,-96.6,22.0,0.0,101.0,0
D000151,5.7,1191.0,1.05,28.0,0.54,-62.8,-50.8,23.5,46.0,-95.2,11.7,0.0,136.0,1
D000152,4.7,1175.0,1.14,28.5,0.44,-65.7,-49.1,22.6,39.0,-96.8,8.7,0.0,123.0,1
D000153,4.2,1167.0,1.4,31.5,0.57,-61.7,-47.7,24.9,47.0,-92.2,17.1,1.0,142.0,0
D000154,4.1,1031.0,1.23,27.5,0.64,-66.5,-53.9,29.0,52.0,-98.3,19.5,0.0,141.0,0
D000155,5.4,1057.0,1.59,39.0,0.31,-69.2,-52.2,25.9,30.0,-94.9,11.1,1.0,,0
D000156,5.7,1254.0,1.06,30.0,0.5,-67.8,-49.3,22.3,51.0,-95.6,9.1,0.0,134.0,1
D000157,5.0,1176.0,1.14,28.5,0.5,-64.7,-50.4,23.7,47.0,-95.6,7.5,0.0,130.0,1
D000158,5.3,1224.0,1.14,30.0,0.47,-66.9,-51.5,26.6,50.0,-93.5,5.7,1.0,128.0,0
D000159,4.8,1222.0,1.1,28.5,0.49,-66.6,-52.5,23.2,47.0,-94.4,10.7,,123.0,1
D000160,5.1,1172.0,1.12,30.0,0.51,-64.6,-51.3,26.0,45.0,-95.4,8.4,0.0,130.0,1
D000161,5.0,1305.0,1.01,33.0,0.65,-61.6,-45.8,26.2,51.0,-93.7,23.2,0.0,119.0,0
D000162,5.1,1149.0,1.16,30.0,0.45,-65.7,-49.6,22.7,43.0,-95.9,8.5,1.0,132.0,1
D000163,5.4,1126.0,1.23,28.0,0.49,-65.0,-49.7,24.3,46.0,-93.3,7.0,0.0,136.0,1
D000164,5.4,1281.0,1.12,30.0,0.44,-66.4,-49.6,25.4,48.0,-95.8,10.9,0.0,122.0,1
D000165,4.8,1212.0,1.18,31.0,0.46,-67.7,-49.5,24.8,43.0,-96.4,10.0,1.0,128.0,1
D000166,4.6,1274.0,1.02,28.5,0.41,-64.7,-50.1,23.3,39.0,-95.7,10.7,0.0,129.0,1
D000167,5.3,1134.0,1.13,31.0,0.53,-65.6,-48.3,24.2,40.0,-94.9,5.3,0.0,125.0,1
D000168,4.2,1248.0,1.18,26.5,0.48,-65.1,-49.4,24.2,45.0,-96.4,10.7,1.0,127.0,0
D000169,4.7,1213.0,1.25,31.0,0.47,-66.3,-48.4,22.8,47.0,-94.5,9.9,1.0,124.0,0
D000170,3.9,1167.0,1.24,30.5,0.47,,-49.6,22.1,50.0,-95.9,6.0,0.0,130.0,1
D000171,4.8,1195.0,1.07,27.5,0.5,-64.2,-50.1,23.6,49.0,-95.6,9.9,0.0,124.0,1
D000172,4.5,1246.0,1.04,30.0,0.39,-66.4,-50.4,24.2,43.0,-95.6,13.8,0.0,127.0,1
D000173,4.3,1127.0,0.93,30.5,0.55,-64.5,-49.5,23.0,43.0,-94.3,8.6,0.0,126.0,1
D000174,,1140.0,1.2,28.0,0.48,-68.0,-50.1,25.1,44.0,-97.4,9.6,1.0,127.0,1
D000175,5.2,1233.0,1.0,28.5,0.52,-66.4,-50.1,22.1,43.0,-94.2,6.8,1.0,129.0,1
D000176,4.6,1196.0,,30.0,0.52,-65.7,-48.9,23.3,46.0,-95.6,12.6,0.0,124.0,1
D000177,6.7,1269.0,1.5,40.0,0.42,-63.4,-52.3,27.0,47.0,-96.3,7.0,1.0,,1
D000178,3.8,1194.0,1.12,26.0,0.42,-66.2,-48.6,24.5,42.0,-96.0,8.9,1.0,127.0,0
D000179,6.6,1089.0,1.15,35.5,0.52,-66.4,-47.5,28.6,60.0,-94.8,11.1,1.0,111.0,1
D000180,5.5,1183.0,0.98,28.0,0.49,-66.5,-50.5,25.4,43.0,-96.2,3.8,0.0,127.0,1
D000181,3.1,1087.0,,20.0,0.3,-62.3,-48.0,20.2,33.0,-100.0,21.1,0.0,108.0,0
D000182,4.3,1216.0,1.06,29.0,0.44,-66.8,-48.7,21.7,44.0,-95.1,10.1,0.0,128.0,1
D000183,5.1,1147.0,0.95,30.0,0.48,-65.8,-49.9,24.0,47.0,-95.9,14.2,1.0,128.0,1
D000184,5.5,1336.0,1.2,34.5,0.53,-61.5,-53.8,25.0,42.0,-96.8,13.9,0.0,131.0,1
D000185,5.2,1107.0,1.09,30.0,0.47,-64.3,-49.8,24.2,45.0,,7.0,0.0,123.0,1
D000186,6.5,1159.0,0.84,37.0,0.56,-60.8,-48.6,25.2,37.0,-90.5,1.5,1.0,102.0,1
D000187,6.8,1067.0,0.99,36.0,0.35,-66.6,-45.9,21.8,35.0,-91.6,19.9,0.0,113.0,0
D000188,4.1,1276.0,1.14,34.5,0.52,-64.9,-49.9,22.3,44.0,-96.2,11.2,1.0,124.0,1
D000189,4.3,1181.0,1.1,27.0,0.46,-66.6,-50.1,25.6,44.0,-95.2,12.4,0.0,130.0,1
D000190,3.9,1131.0,1.2,25.5,0.48,-66.2,-49.7,24.1,42.0,-95.4,4.7,0.0,130.0,1
D000191,4.3,1190.0,1.08,27.5,0.51,-64.8,-47.8,22.5,48.0,-95.3,7.4,1.0,125.0,1
D000192,5.1,1354.0,1.07,29.5,,,-45.2,21.2,54.0,-90.4,11.9,0.0,150.0,0
D000193,6.1,1297.0,1.56,28.5,0.57,-64.0,-48.9,22.0,40.0,-93.3,,0.0,111.0,0
D000194,5.0,1129.0,1.02,28.5,0.43,-66.3,-49.5,23.8,46.0,-96.0,9.9,1.0,128.0,1
D000195,4.8,1111.0,1.14,27.5,0.57,-64.6,-47.3,25.2,44.0,-96.0,6.9,1.0,127.0,0
D000196,4.6,1167.0,1.17,29.0,0.46,-66.8,,25.5,45.0,-95.9,9.4,1.0,132.0,1
D000197,4.5,1149.0,1.13,29.0,0.45,-65.6,-49.3,24.3,41.0,-94.1,9.8,0.0,135.0,0
D000198,4.9,1187.0,1.09,30.0,0.52,-66.8,-50.6,22.0,49.0,-96.3,11.9,0.0,130.0,1
D000199,4.5,1088.0,1.1,28.5,0.5,-66.4,-50.4,25.2,37.0,-96.2,6.4,1.0,137.0,1
D000200,5.1,1215.0,1.16,29.0,0.54,-64.9,-49.1,24.4,41.0,-95.2,11.4,1.0,130.0,1
D000201,4.1,1213.0,1.37,36.0,0.4,-64.8,-52.8,25.4,42.0,-96.5,9.4,1.0,102.0,0
D000202,5.1,1188.0,1.13,30.5,0.48,-67.4,,24.1,48.0,-95.2,8.2,0.0,119.0,1
D000203,5.1,1239.0,1.19,27.0,0.6,-67.3,-45.9,23.0,54.0,-91.8,20.6,0.0,129.0,0
D000204,4.7,1183.0,1.15,29.5,0.53,-64.4,-49.0,24.7,44.0,-96.8,8.8,0.0,125.0,1
D000205,6.4,1303.0,1.07,22.5,0.66,-63.2,-48.7,29.2,38.0,-97.8,23.2,1.0,122.0,0
D000206,5.2,1181.0,1.2,32.5,0.56,-66.7,-49.8,25.2,43.0,-95.5,9.2,1.0,133.0,1
D000207,5.0,1159.0,1.14,31.5,0.4,-65.3,-52.7,25.2,48.0,-96.3,10.6,1.0,126.0,1
D000208,5.4,1225.0,1.02,33.0,0.54,-64.8,-51.3,23.9,47.0,-95.2,4.5,0.0,126.0,1
D000209,3.6,1175.0,1.43,39.5,0.55,-68.1,-55.0,26.6,41.0,-96.1,6.9,1.0,138.0,1
D000210,4.9,1153.0,1.05,25.5,0.52,-66.7,-50.9,23.4,46.0,-96.5,8.7,0.0,129.0,1
D000211,6.6,1007.0,0.94,23.0,0.65,-63.4,-53.2,21.5,46.0,-98.8,14.9,0.0,145.0,1
D000212,4.5,1164.0,1.07,27.0,0.44,-63.1,-50.5,23.1,44.0,-95.9,5.8,1.0,136.0,1
D000213,3.7,1089.0,0.8,29.0,0.37,-60.2,-54.2,23.3,38.0,-93.0,19.2,0.0,136.0,0
D000214,4.5,1190.0,0.94,27.5,0.47,-64.3,-48.8,24.4,48.0,-95.5,8.2,0.0,131.0,1
D000215,5.1,1183.0,0.87,28.0,0.46,-68.1,-47.5,22.3,58.0,-94.0,21.0,0.0,134.0,0
D000216,4.4,1248.0,1.33,36.5,0.68,-69.9,-47.3,28.6,45.0,-91.1,15.1,0.0,132.0,0
D000217,4.8,1208.0,1.01,29.5,0.47,-65.4,-50.2,24.4,42.0,-95.4,10.2,0.0,118.0,1
D000218,6.2,1153.0,0.81,36.5,0.62,-63.8,-52.0,20.8,59.0,-97.2,12.9,1.0,145.0,1
D000219,,1197.0,1.11,30.0,0.46,-64.5,-49.3,22.3,40.0,-96.9,9.2,1.0,125.0,1
D000220,4.9,1187.0,1.16,28.5,0.49,-65.2,-50.3,24.1,48.0,-93.9,9.4,1.0,131.0,0
D000221,5.2,1147.0,1.03,28.0,0.55,-65.0,-49.4,24.9,41.0,-96.3,11.5,0.0,136.0,1
D000222,5.8,1391.0,1.08,39.0,0.4,-68.8,-50.1,24.3,,-98.3,24.0,1.0,110.0,1
D000223,4.5,1123.0,1.08,28.0,0.51,-64.9,-49.9,25.6,48.0,-94.3,9.3,0.0,128.0,1
D000224,4.1,1195.0,0.98,32.0,0.43,-66.6,-50.4,23.2,36.0,-96.5,11.8,0.0,130.0,1
